iter	MultiClass
0	1.069119456
1	1.043362197
2	1.01658298
3	0.9923065013
4	0.9689929394
5	0.9465215323
6	0.9250431275
7	0.9042397552
8	0.8837423561
9	0.8651784125
10	0.8470288915
11	0.8296205484
12	0.81287075
13	0.7966517978
14	0.7811702026
15	0.7667197854
16	0.7528617393
17	0.7389125803
18	0.7256788589
19	0.7125565966
20	0.6998937051
21	0.6883059901
22	0.6769794287
23	0.6659463178
24	0.6549760038
25	0.6447918919
26	0.6345646146
27	0.6245124264
28	0.6152786705
29	0.6060004155
30	0.5968040414
31	0.5884874738
32	0.5801266701
33	0.5719352189
34	0.5634934964
35	0.5556585479
36	0.5481100502
37	0.5406913321
38	0.5334085909
39	0.5266788043
40	0.5196214169
41	0.5129135982
42	0.5066939358
43	0.5003866985
44	0.4943711218
45	0.4886434642
46	0.4827492465
47	0.4774809067
48	0.472129773
49	0.4668168192
50	0.4614153728
51	0.4564431184
52	0.4511636091
53	0.4460680936
54	0.4413428667
55	0.4371689207
56	0.432795847
57	0.4286122095
58	0.4243333629
59	0.4202350322
60	0.4163622316
61	0.4125230237
62	0.4085628755
63	0.4047535541
64	0.4011651405
65	0.3975173008
66	0.3940104413
67	0.3905464769
68	0.3871766424
69	0.3839400027
70	0.3806922123
71	0.3773701027
72	0.3741846601
73	0.3712239253
74	0.3686511648
75	0.365547541
76	0.3625634426
77	0.3598022292
78	0.3571189056
79	0.3545242731
80	0.3521208626
81	0.3494900893
82	0.3469562087
83	0.3446392556
84	0.3421418889
85	0.3400446144
86	0.3376694224
87	0.3353550091
88	0.3334113853
89	0.3314045703
90	0.3292179408
91	0.3271467204
92	0.3252838203
93	0.3234183484
94	0.3213441912
95	0.3195191665
96	0.3179098027
97	0.3160342266
98	0.3144035579
99	0.3127974058
100	0.3110612549
101	0.309553817
102	0.3078057266
103	0.3060980691
104	0.3047892515
105	0.3033819788
106	0.3019738342
107	0.3007330311
108	0.2992546627
109	0.2978912759
110	0.2965388851
111	0.295322613
112	0.2940107351
113	0.2925576697
114	0.2913051323
115	0.2899526935
116	0.2886539319
117	0.2874000385
118	0.2862486353
119	0.2849864989
120	0.2837202411
121	0.2826743706
122	0.2817597159
123	0.2807524219
124	0.2797144899
125	0.2786806212
126	0.2775167565
127	0.2765027826
128	0.275413024
129	0.2744779788
130	0.2736536093
131	0.2725447108
132	0.2716940354
133	0.2707451718
134	0.2698432356
135	0.268876505
136	0.2680009724
137	0.2671857268
138	0.2663271146
139	0.265451205
140	0.2643878736
141	0.2636185878
142	0.2627439064
143	0.2620173659
144	0.2613550983
145	0.2607399651
146	0.2601066161
147	0.2592887438
148	0.2585886459
149	0.2577409868
150	0.2572246127
151	0.2567098709
152	0.2560985404
153	0.255250606
154	0.2545269535
155	0.2540900601
