iter	Passed	Remaining
0	28	14014
1	40	10025
2	58	9671
3	73	9171
4	90	8929
5	101	8357
6	115	8102
7	126	7808
8	138	7547
9	149	7313
10	160	7150
11	172	7013
12	182	6848
13	192	6665
14	202	6561
15	212	6428
16	222	6314
17	232	6235
18	246	6245
19	256	6157
20	267	6112
21	277	6036
22	287	5969
23	298	5914
24	307	5845
25	318	5807
26	328	5760
27	338	5701
28	348	5666
29	358	5619
30	369	5589
31	380	5562
32	390	5532
33	401	5508
34	412	5476
35	423	5453
36	434	5437
37	445	5413
38	455	5386
39	466	5362
40	476	5339
41	486	5308
42	497	5287
43	507	5262
44	517	5236
45	528	5211
46	537	5178
47	547	5158
48	559	5145
49	569	5122
50	580	5111
51	591	5092
52	604	5094
53	615	5086
54	628	5081
55	638	5064
56	650	5056
57	661	5038
58	670	5014
59	682	5003
60	693	4993
61	702	4965
62	713	4946
63	722	4925
64	733	4906
65	744	4895
66	754	4875
67	764	4858
68	775	4844
69	785	4823
70	795	4808
71	808	4809
72	819	4793
73	833	4800
74	846	4795
75	859	4794
76	872	4795
77	884	4784
78	896	4779
79	908	4768
80	918	4752
81	929	4736
82	940	4723
83	950	4707
84	963	4703
85	975	4694
86	986	4682
87	997	4672
88	1011	4671
89	1022	4660
90	1033	4645
91	1044	4633
92	1057	4627
93	1077	4653
94	1108	4725
95	1127	4742
96	1142	4745
97	1156	4742
98	1169	4738
99	1180	4722
100	1192	4712
101	1204	4698
102	1214	4682
103	1226	4670
104	1238	4658
105	1249	4644
106	1259	4627
107	1271	4616
108	1284	4607
109	1295	4594
110	1307	4583
111	1319	4571
112	1330	4557
113	1342	4546
114	1354	4533
115	1364	4516
116	1376	4505
117	1388	4495
118	1401	4488
119	1412	4472
120	1424	4460
121	1435	4449
122	1449	4441
123	1459	4425
124	1470	4412
125	1481	4398
126	1491	4381
127	1503	4369
128	1514	4354
129	1525	4341
130	1536	4329
131	1548	4317
132	1559	4304
133	1571	4292
134	1583	4281
135	1594	4266
136	1604	4252
137	1616	4239
138	1626	4225
139	1637	4211
140	1648	4198
141	1659	4182
142	1671	4171
143	1682	4158
144	1692	4143
145	1704	4131
146	1716	4123
147	1729	4114
148	1741	4102
149	1753	4090
150	1766	4082
151	1778	4070
152	1789	4057
153	1806	4059
154	1820	4052
155	1835	4047
156	1848	4039
157	1863	4033
158	1876	4024
159	1887	4010
160	1900	4000
161	1912	3991
162	1932	3994
163	1946	3987
164	1962	3984
165	1974	3973
166	1989	3967
167	2005	3962
168	2020	3956
169	2035	3950
170	2050	3945
171	2064	3937
172	2082	3937
173	2100	3934
174	2114	3926
175	2130	3921
176	2146	3916
177	2161	3910
178	2177	3904
179	2192	3898
180	2206	3888
181	2218	3876
182	2232	3867
183	2245	3856
184	2257	3843
185	2269	3831
186	2281	3818
187	2292	3805
188	2304	3791
189	2315	3777
190	2327	3765
191	2338	3751
192	2352	3741
193	2366	3733
194	2381	3725
195	2396	3716
196	2411	3709
197	2426	3700
198	2441	3693
199	2455	3683
200	2470	3675
201	2486	3668
202	2501	3660
203	2515	3649
204	2532	3644
205	2557	3650
206	2575	3645
207	2589	3634
208	2606	3629
209	2625	3625
210	2640	3616
211	2653	3605
212	2668	3595
213	2680	3582
214	2693	3570
215	2705	3557
216	2718	3545
217	2729	3531
218	2741	3517
219	2753	3504
220	2766	3492
221	2782	3484
222	2811	3492
223	2828	3484
224	2846	3478
225	2859	3467
226	2872	3454
227	2885	3442
228	2899	3431
229	2918	3426
230	2934	3417
231	2961	3420
232	2976	3411
233	2998	3408
234	3018	3404
235	3034	3394
236	3054	3389
237	3074	3384
238	3089	3374
239	3109	3368
240	3131	3365
241	3149	3357
242	3171	3354
243	3201	3358
244	3218	3349
245	3242	3348
246	3265	3345
247	3281	3334
248	3301	3328
249	3327	3327
250	3347	3321
251	3364	3310
252	3390	3309
253	3410	3302
254	3429	3295
255	3445	3284
256	3469	3280
257	3486	3270
258	3507	3263
259	3531	3259
260	3548	3249
261	3570	3243
262	3596	3241
263	3624	3240
264	3656	3242
265	3689	3245
266	3725	3250
267	3753	3249
268	3799	3262
269	3837	3268
270	3870	3270
271	3899	3268
272	3975	3305
273	4018	3314
274	4079	3337
275	4162	3378
276	4198	3380
277	4229	3377
278	4279	3389
279	4337	3408
280	4369	3405
281	4397	3399
282	4417	3387
283	4433	3371
284	4448	3356
285	4471	3345
286	4488	3331
287	4503	3314
288	4521	3301
289	4534	3283
290	4549	3267
291	4564	3251
292	4580	3236
293	4595	3220
294	4610	3204
295	4626	3188
296	4644	3174
297	4660	3159
298	4676	3144
299	4692	3128
300	4706	3111
301	4719	3093
302	4731	3076
303	4744	3059
304	4759	3043
305	4772	3025
306	4786	3009
307	4802	2993
308	4817	2977
309	4832	2961
310	4847	2946
311	4859	2928
312	4872	2910
313	4884	2893
314	4896	2875
315	4907	2857
316	4919	2839
317	4931	2822
318	4944	2805
319	4957	2788
320	4970	2771
321	4981	2753
322	4995	2737
323	5006	2719
324	5017	2701
325	5030	2684
326	5042	2667
327	5055	2651
328	5067	2633
329	5080	2617
330	5091	2599
331	5104	2583
332	5116	2565
333	5128	2548
334	5139	2531
335	5150	2513
336	5162	2496
337	5174	2479
338	5186	2462
339	5197	2445
340	5209	2428
341	5220	2411
342	5232	2394
343	5244	2378
344	5255	2361
345	5267	2344
346	5279	2327
347	5291	2311
348	5303	2294
349	5315	2277
350	5326	2261
351	5338	2244
352	5350	2228
353	5362	2211
354	5373	2194
355	5385	2178
356	5396	2161
357	5408	2145
358	5420	2129
359	5432	2112
360	5446	2097
361	5462	2082
362	5481	2068
363	5494	2052
364	5506	2036
